gene_ID	fit1_conv	fit0_conv	pval	padj	baseMean	log2FoldChange	gene	upreg_24206	upreg_32537	upreg_deseq
ENSG00000149090	TRUE	TRUE	1.90506967137845e-07	5.58911154541077e-05	103.610921031973	1.67127215562063	PAMR1	TRUE	TRUE	TRUE
ENSG00000111412	TRUE	TRUE	2.81504373752414e-07	7.74262699414564e-05	613.976147791595	-1.26196262654519	C12orf49	FALSE	FALSE	FALSE
ENSG00000138821	TRUE	TRUE	3.13232206658306e-07	8.4001466328295e-05	2924.66498723213	-1.6877220170303	SLC39A8	FALSE	FALSE	FALSE
ENSG00000160285	TRUE	TRUE	3.30469161755181e-07	8.77595045505891e-05	1009.35977218657	-1.54175715744996	LSS	FALSE	FALSE	FALSE
ENSG00000174951	TRUE	TRUE	3.39110138535819e-07	8.85278628609823e-05	114.745128688161	-1.50933716598668	FUT1	FALSE	FALSE	FALSE
ENSG00000186480	TRUE	TRUE	3.53208179650199e-07	9.06714831177032e-05	896.058544801887	-1.41784949953233	INSIG1	FALSE	FALSE	FALSE
ENSG00000112972	TRUE	TRUE	4.22286020156805e-07	0.000105760332121385	980.556562583547	-2.00174875546238	HMGCS1	FALSE	FALSE	FALSE
ENSG00000123119	TRUE	TRUE	4.29252991204804e-07	0.000106638212855355	159.689195279082	-1.59815787501727	NECAB1	FALSE	FALSE	FALSE
ENSG00000107562	TRUE	TRUE	4.34249992543596e-07	0.000107016568162444	529.794532446168	1.32505625294104	CXCL12	TRUE	TRUE	TRUE
ENSG00000106819	TRUE	TRUE	5.01526403535588e-07	0.000121649770558376	306.46620479183	1.83506718699003	ASPN	TRUE	TRUE	TRUE
ENSG00000168952	TRUE	TRUE	8.04390541978629e-07	0.000183550004782605	232.352705264155	-1.5559491264943	STXBP6	FALSE	FALSE	FALSE
ENSG00000151718	TRUE	TRUE	8.73981850290493e-07	0.000195094281871005	1160.04611879898	-1.2201280458564	WWC2	FALSE	FALSE	FALSE
ENSG00000133083	TRUE	TRUE	9.10089693405744e-07	0.0002002522357526	279.72688172872	1.35031944369632	DCLK1	TRUE	TRUE	TRUE
ENSG00000135052	TRUE	TRUE	9.94260938760075e-07	0.000211008705350359	524.656727806322	1.24241579588496	GOLM1	TRUE	TRUE	TRUE
ENSG00000001630	TRUE	TRUE	1.29514220456958e-06	0.000257380771931192	1440.24508702713	-1.58155181533963	CYP51A1	FALSE	FALSE	FALSE
ENSG00000141753	TRUE	TRUE	1.54391454982465e-06	0.000293582022884866	3506.69267632685	1.1208475900671	IGFBP4	TRUE	TRUE	TRUE
ENSG00000134247	TRUE	TRUE	1.65948781131667e-06	0.000307954951973554	687.910529416111	1.15415708969798	PTGFRN	TRUE	TRUE	TRUE
ENSG00000197506	TRUE	TRUE	2.46090494741166e-06	0.000430390112931328	52.7403665346672	2.18298164852115	SLC28A3	TRUE	TRUE	TRUE
ENSG00000154096	TRUE	TRUE	2.62414243885182e-06	0.000442396161283316	468.755404260798	1.53771409112304	THY1	TRUE	TRUE	TRUE
ENSG00000113161	TRUE	TRUE	3.4595695944229e-06	0.000549340419361843	716.169030392403	-1.37364904332796	HMGCR	FALSE	FALSE	FALSE
ENSG00000171408	TRUE	TRUE	4.20069933590712e-06	0.000640606648725836	115.899171058266	1.45234110229289	PDE7B	TRUE	TRUE	TRUE
ENSG00000044524	TRUE	TRUE	4.50307352934641e-06	0.000676669171080567	186.495465176578	1.89672571907088	EPHA3	TRUE	TRUE	TRUE
ENSG00000154319	TRUE	TRUE	4.9561993238276e-06	0.000720810933866403	214.586466921845	-1.73727866953208	FAM167A	FALSE	FALSE	FALSE
ENSG00000106809	TRUE	TRUE	5.00648493296104e-06	0.000724059945351479	302.320253936116	1.64500797486413	OGN	TRUE	TRUE	TRUE
ENSG00000146072	TRUE	TRUE	6.62058464420758e-06	0.000918680675517183	514.187104690022	1.12011725636972	TNFRSF21	TRUE	TRUE	TRUE
ENSG00000164741	TRUE	TRUE	6.75502646713551e-06	0.000928966921071916	3041.24061412795	-1.13110116645978	DLC1	FALSE	FALSE	FALSE
ENSG00000176834	TRUE	TRUE	7.4386991965261e-06	0.000996300559778202	326.816670382379	-1.59508074681458	VSIG10	FALSE	FALSE	FALSE
ENSG00000149485	TRUE	TRUE	8.12468051008663e-06	0.00108346659356372	795.859249923448	-1.80194480690098	FADS1	FALSE	FALSE	FALSE
ENSG00000110900	TRUE	TRUE	8.92479272175587e-06	0.00116495016861733	186.411210650469	1.20867570095198	TSPAN11	TRUE	TRUE	TRUE
ENSG00000198682	TRUE	TRUE	1.21053829851967e-05	0.00149761575445375	1310.54355946074	-1.09430640008544	PAPSS2	FALSE	FALSE	FALSE
ENSG00000109084	TRUE	TRUE	1.24237554124452e-05	0.0015308551419215	317.334678783077	-1.75518876008908	TMEM97	FALSE	FALSE	FALSE
ENSG00000104974	TRUE	TRUE	1.33278894940996e-05	0.00161856610238921	51.0504030869244	-1.34121451252403	LILRA1	FALSE	FALSE	FALSE
ENSG00000160752	TRUE	TRUE	1.45867725940208e-05	0.00173492482532359	813.484859747677	-1.35991065019959	FDPS	FALSE	FALSE	FALSE
ENSG00000133019	TRUE	TRUE	1.59079514600462e-05	0.00184922431972348	62.0368141652389	-1.26348880843537	CHRM3	FALSE	FALSE	FALSE
ENSG00000163283	TRUE	TRUE	1.76955611439093e-05	0.00198222458559318	51.6067888565279	-2.25566164549014	ALPP	FALSE	FALSE	FALSE
ENSG00000115109	TRUE	TRUE	2.03642756255571e-05	0.00217819968974058	718.697303498014	-1.1136786796065	EPB41L5	FALSE	FALSE	FALSE
ENSG00000105971	TRUE	TRUE	2.21039943889906e-05	0.00230038360524613	1479.19014330965	-1.15233267950482	CAV2	FALSE	FALSE	FALSE
ENSG00000164694	TRUE	TRUE	2.54482874351791e-05	0.00255984227905715	95.8831680754808	3.12772370719023	FNDC1	TRUE	TRUE	TRUE
ENSG00000165434	TRUE	TRUE	2.72923250205688e-05	0.00268607051839815	258.870887799876	1.13542001392703	PGM2L1	TRUE	TRUE	TRUE
ENSG00000172667	TRUE	TRUE	2.78914005705549e-05	0.00272760188754268	472.933029588247	1.18921642356829	ZMAT3	TRUE	TRUE	TRUE
ENSG00000128422	TRUE	TRUE	3.05539926897204e-05	0.00290498686668777	858.841899433941	3.48933112863444	KRT17	TRUE	TRUE	TRUE
ENSG00000156113	TRUE	TRUE	3.33268763901282e-05	0.00306458037969523	237.457429103697	1.36570565375922	KCNMA1	TRUE	TRUE	TRUE
ENSG00000136160	TRUE	TRUE	3.45004907291249e-05	0.00312584593209028	788.147777708745	-1.01001113983611	EDNRB	FALSE	FALSE	FALSE
ENSG00000170786	TRUE	TRUE	3.91270248548525e-05	0.00343392592778841	484.167646958365	-1.66815051802851	SDR16C5	FALSE	FALSE	FALSE
ENSG00000106823	TRUE	TRUE	4.07980732593004e-05	0.00351746603800002	251.201349957987	1.30072753468309	ECM2	TRUE	TRUE	TRUE
ENSG00000196562	TRUE	TRUE	4.16992998882991e-05	0.00356818592516404	501.949271461071	1.05124076582686	SULF2	TRUE	TRUE	TRUE
ENSG00000135916	TRUE	TRUE	4.31285887022162e-05	0.00367009993086124	282.581756447948	1.17421269890892	ITM2C	TRUE	TRUE	TRUE
ENSG00000166922	TRUE	TRUE	4.86387809665483e-05	0.00398488736083649	16.2768599968106	1.4814947075703	SCG5	TRUE	TRUE	TRUE
ENSG00000078018	TRUE	TRUE	5.91802135212996e-05	0.00468649480083197	438.844063897932	-1.08275582132934	MAP2	FALSE	FALSE	FALSE
ENSG00000123500	TRUE	TRUE	6.22233891263892e-05	0.00490228005636424	122.329174093183	0.988699804377836	COL10A1	TRUE	TRUE	TRUE
ENSG00000072858	TRUE	TRUE	6.28529245064483e-05	0.0049289493595954	113.5212710438	1.1648113786694	SIDT1	TRUE	TRUE	TRUE
ENSG00000137501	TRUE	TRUE	6.60418601460464e-05	0.0050860487544974	604.001423450911	1.02408007278268	SYTL2	TRUE	TRUE	TRUE
ENSG00000144285	TRUE	TRUE	6.6298966446096e-05	0.00509311636252366	318.201245751296	-1.94024681409533	SCN1A	FALSE	FALSE	FALSE
ENSG00000090013	TRUE	TRUE	6.79282253938924e-05	0.00519237961106416	551.438916073118	-1.02556644490022	BLVRB	FALSE	FALSE	FALSE
ENSG00000049323	TRUE	TRUE	7.29300424410961e-05	0.00553339801595519	1442.4012932276	1.09612571430494	LTBP1	TRUE	TRUE	TRUE
ENSG00000106976	TRUE	TRUE	9.03547679933543e-05	0.00650322109354037	95.790065127041	1.17365208601066	DNM1	TRUE	TRUE	TRUE
ENSG00000170153	TRUE	TRUE	0.000109866385129446	0.00765709048396513	67.1166728778008	1.05854010459025	RNF150	TRUE	TRUE	TRUE
ENSG00000181577	TRUE	TRUE	0.000124251054453651	0.00833697037342462	141.493793706162	-2.50489072667381	C6orf223	FALSE	FALSE	FALSE
ENSG00000111052	TRUE	TRUE	0.000124492983988811	0.00833697037342462	189.3298762453	-0.98420934570817	LIN7A	FALSE	FALSE	FALSE
ENSG00000067064	TRUE	TRUE	0.00013388982297528	0.00888895688955496	696.360934570453	-1.06062278297627	IDI1	FALSE	FALSE	FALSE
ENSG00000134504	TRUE	TRUE	0.000141405646463118	0.00924840963757186	127.396980060654	1.05471070846888	KCTD1	TRUE	TRUE	TRUE
ENSG00000156011	TRUE	TRUE	0.000146094641727582	0.00951468380215256	708.892446276372	0.928984080073029	PSD3	TRUE	TRUE	TRUE
